k,mu,R,cert,discovery_minus_cert,relative_cert_gap,cert_midpoint,cert_status,log_k,ceiling,headroom,log_k_minus_R,c,weight,rank_num,rank_den,cond,nit,moved_log_c,gate_failed_coords,spread,c_log_k,E_S,sd_S,eta
11000,1,9.08497925,9.0847562044,0.0002230456000003045,2.4551030207394748e-05,9.0847643673,PASS,9.30565055,9.3064966,0.221517,0.220671,0.10954742,1.0,1,1,1.0,60,0.0051,0,1.0,1.01941000937,1.15211920655,0.330762435254,-0.459904724155
12000,1,9.17085953,9.1706197052,0.00023982479999951067,2.6150744018593715e-05,9.1706277409,PASS,9.39266193,9.39344472,0.222585,0.221802,0.10849791,1.0,1,1,1.0,62,0.005,0,1.0,1.01908418861,1.15156611359,0.329190775376,-0.460420294015
13000,1,9.24988419,9.2496283639,0.0002558261000000783,2.7657221944102887e-05,9.2496362858,PASS,9.47270464,9.47343336,0.223549,0.22282,0.1075504,1.0,1,1,1.0,59,0.0048,0,1.0,1.01879317273,1.15106122238,0.327764284779,-0.460883718566
14000,1,9.32306817,9.3227970776,0.00027109240000022794,2.907759495662123e-05,9.3228048966,PASS,9.54681261,9.54749457,0.224426,0.223744,0.10668798,1.0,1,1,1.0,55,0.0046,0,1.0,1.01853015265,1.15059629915,0.326459604421,-0.461301481456
15000,1,9.3912164,9.3909307271,0.00028567289999870127,3.0419158480758818e-05,9.3909384526,PASS,9.61580548,9.61644658,0.22523,0.224589,0.1058976,1.0,1,1,1.0,66,0.0045,1,1.0,1.01829072241,1.15016572628,0.32525860632,-0.461681023525
16000,1,9.45497803,9.4546784201,0.00029960989999899823,3.168805882450033e-05,9.45468606,PASS,9.680344,9.68094906,0.225971,0.225366,0.10516892,1.0,1,1,1.0,63,0.0044,0,1.0,1.01807132384,1.14976489387,0.324146844027,-0.462027925406
17000,1,9.5148842,9.5145712569,0.00031294309999907455,3.28898485174496e-05,9.5145788179,PASS,9.74096862,9.74154165,0.226657,0.226084,0.10449373,1.0,1,1,1.0,61,0.0043,0,1.0,1.01787014523,1.14939110462,0.323112802185,-0.462349692144
18000,1,9.57137506,9.5710493577,0.0003257022999996195,3.402878875374669e-05,9.5710568456,PASS,9.79812704,9.79867141,0.227296,0.226752,0.10386495,1.0,1,1,1.0,62,0.0042,0,1.0,1.01768197478,1.14903827408,0.322146450032,-0.462641367201
19000,1,9.62481936,9.6244814216,0.0003379383999995156,3.511114207545144e-05,9.6244888419,PASS,9.85219426,9.85271282,0.227893,0.227375,0.10327757,1.0,1,1,1.0,53,0.0041,1,1.0,1.01751068215,1.14870973164,0.32124076412,-0.46292297943
20000,1,9.67552922,9.6751795407,0.0003496792999992948,3.614058642668177e-05,9.6751868979,PASS,9.90348755,9.90398275,0.228454,0.227958,0.10272652,1.0,1,1,1.0,74,0.004,1,1.0,1.01735081214,1.14839930715,0.320388479752,-0.463185527979
21000,1,9.72377112,9.7234101683,0.0003609517000011664,3.7120546704226246e-05,9.723417466,PASS,9.95227772,9.95275166,0.228981,0.228507,0.10220749,1.0,1,1,1.0,71,0.0039,0,1.0,1.01719732521,1.14810131622,0.319583388798,-0.463419944242
22000,1,9.7697743,9.7694025039,0.0003717960999995995,3.805575119576708e-05,9.7694097458,PASS,9.99879773,9.99925224,0.229478,0.229023,0.10171773,1.0,1,1,1.0,60,0.0038,0,1.0,1.01705500806,1.14782023182,0.318821622319,-0.463645566899
23000,1,9.81373751,9.8133552895,0.0003822204999988088,3.894749575371604e-05,9.8133624789,PASS,10.04324949,10.04368618,0.229949,0.229512,0.10125412,1.0,1,1,1.0,62,0.0037,0,1.0,1.01692038955,1.14755208668,0.318098660392,-0.46385635983
24000,1,9.85583415,9.8554418849,0.0003922651000003441,3.980029432621328e-05,9.8554490247,PASS,10.08580911,10.08622937,0.230395,0.229975,0.10081424,1.0,1,1,1.0,61,0.0037,0,1.0,1.01679318014,1.14729622617,0.317411016355,-0.464055179503
25000,1,9.89621637,9.8958144132,0.00040195679999932565,4.061722025579819e-05,9.8958215062,PASS,10.1266311,10.12703619,0.23082,0.230415,0.10039617,1.0,1,1,1.0,59,0.0036,0,1.0,1.01667497783,1.14705397556,0.316755939845,-0.464250096244
26000,1,9.93501849,9.9346071889,0.0004113010999997613,4.1399127783582145e-05,9.9346142373,PASS,10.16585182,10.16624283,0.231224,0.230833,0.09999764,1.0,1,1,1.0,60,0.0036,0,1.0,1.01656119029,1.14682031944,0.316130086728,-0.464430073586
27000,1,9.97235961,9.9719392832,0.00042032680000048117,4.214918198286686e-05,9.971946289,PASS,10.20359214,10.20397007,0.23161,0.231233,0.099617051,1.0,1,1,1.0,62,0.0035,0,1.0,1.01645175909,1.14659493558,0.315531133587,-0.464597372432
28000,1,10.00834581,10.0079167463,0.0004290637000003983,4.287059101931634e-05,10.0079237118,PASS,10.23995979,10.24032552,0.23198,0.231614,0.09925333,1.0,1,1,1.0,59,0.0034,0,1.0,1.01635010814,1.14638111432,0.314957561256,-0.46476456617
29000,1,10.04307207,10.042634563,0.00043750699999911546,4.356306486199651e-05,10.04264149,PASS,10.27505111,10.27540543,0.232333,0.231979,0.098904822,1.0,1,1,1.0,61,0.0034,0,1.0,1.01625210097,1.14617437989,0.314406904418,-0.464921023806
30000,1,10.07662371,10.0761780381,0.0004456718999996667,4.422829638437166e-05,10.0761849281,PASS,10.30895266,10.3092963,0.232673,0.232329,0.098570288,1.0,1,1,1.0,62,0.0033,1,1.0,1.01615643274,1.1459731905,0.313877333594,-0.465064453129
31000,1,10.10907761,10.1086240125,0.00045359749999995813,4.487031532444216e-05,10.1086308672,PASS,10.34174248,10.3420761,0.232998,0.232665,0.09824922,1.0,1,1,1.0,60,0.0033,0,1.0,1.01606813244,1.1457825503,0.313368164812,-0.465211743468
32000,1,10.14050338,10.1400421021,0.00046127789999950153,4.548865896630681e-05,10.1400489232,PASS,10.37349118,10.37381536,0.233312,0.232988,0.097940498,1.0,1,1,1.0,75,0.0032,0,1.0,1.01598489234,1.1455999174,0.312877726094,-0.465357247453
33000,1,10.17096435,10.1704956502,0.0004686998000007492,4.6082139694133245e-05,10.1705024381,PASS,10.40426284,10.40457813,0.233614,0.233298,0.097642076,1.0,1,1,1.0,67,0.0032,0,1.0,1.01589382299,1.14541184764,0.312402848529,-0.465462617645
34000,1,10.2005178,10.2000418599,0.0004759400999994057,4.665842551634052e-05,10.2000486168,PASS,10.4341158,10.4344227,0.233905,0.233598,0.097355478,1.0,1,1,1.0,62,0.0032,0,1.0,1.01581833157,1.14524234155,0.311946056593,-0.465600825773
35000,1,10.22921645,10.228733477,0.0004829729999986654,4.7215053309255706e-05,10.2287402037,PASS,10.46310334,10.46340229,0.234186,0.233887,0.097078433,1.0,1,1,1.0,63,0.0031,0,1.0,1.01574167661,1.14507400469,0.311503799231,-0.465721461658
36000,1,10.25710833,10.2566185385,0.0004897914999997255,4.7751421184388084e-05,10.2566252362,PASS,10.49127422,10.49156565,0.234457,0.234166,0.096810688,1.0,1,1,1.0,62,0.0031,0,1.0,1.01566747499,1.14491044842,0.311075742222,-0.465836543172
37000,1,10.28423761,10.2837411734,0.0004964366000006493,4.8271599590224685e-05,10.283747843,PASS,10.51867319,10.51895749,0.23472,0.234436,0.096551753,1.0,1,1,1.0,62,0.003,0,1.0,1.01559633589,1.14475219131,0.31066116531,-0.465948781108
38000,1,10.31064489,10.3101419991,0.000502890899999997,4.877395210145745e-05,10.3101486417,PASS,10.54534144,10.54561895,0.234974,0.234697,0.09630107,1.0,1,1,1.0,64,0.003,0,1.0,1.01552766406,1.14459851702,0.310259232096,-0.466057096986
39000,1,10.33636764,10.3358584491,0.0005091909000007888,4.9262073267431575e-05,10.3358650657,PASS,10.57131693,10.57158799,0.23522,0.234949,0.096058272,1.0,1,1,1.0,63,0.003,1,1.0,1.01546243659,1.14445033935,0.30986940733,-0.466165216479
40000,1,10.36144058,10.360925291,0.0005152890000008625,4.9731405205902607e-05,10.3609318815,PASS,10.59663473,10.59689966,0.235459,0.235194,0.095821889,1.0,1,1,1.0,65,0.0029,0,1.0,1.01538955717,1.14429611246,0.309489370212,-0.466239316603
41000,1,10.56167246,,,,,FAILED,10.62132735,10.62158641,0.059914,0.059655,0.16692108,1.0,1,1,1.0,161,0.5603,65,1.0,1.77292343158,1.90483521296,0.408432454472,-2.21538519541
42000,1,10.40976233,10.4092352175,0.0005271125000003707,5.063636260755732e-05,10.4092417604,PASS,10.6454249,10.64567837,0.235916,0.235663,0.095372018,1.0,1,1,1.0,61,0.0029,0,1.0,1.01527565492,1.14402578361,0.308764732001,-0.466458013778
43000,1,10.43306875,10.4325359635,0.0005327865000008813,5.106709375425915e-05,10.4325424832,PASS,10.66895539,10.66920352,0.236135,0.235887,0.095155927,1.0,1,1,1.0,67,0.0028,0,1.0,1.0152143407,1.1438885784,0.30841600752,-0.466540564997
44000,1,10.45584036,10.4553020216,0.0005383384000001712,5.1486861071410925e-05,10.4553085191,PASS,10.69194491,10.69218792,0.236348,0.236105,0.094946265,1.0,1,1,1.0,64,0.0028,0,1.0,1.01516023507,1.14376037103,0.308077257356,-0.466637402124
45000,1,10.47810122,10.4775574587,0.0005437612999994457,5.189502263650071e-05,10.4775639348,PASS,10.71441777,10.71465587,0.236555,0.236317,0.094742299,1.0,1,1,1.0,74,0.0028,0,1.0,1.01510857186,1.14363617538,0.307747328393,-0.466734109875
46000,1,10.49987386,10.4993248258,0.0005490341999987436,5.228959960084165e-05,10.4993312804,PASS,10.73639668,10.73663008,0.236756,0.236523,0.09454295,1.0,1,1,1.0,64,0.0028,0,1.0,1.01505061407,1.14350690314,0.30742449896,-0.466803731093
47000,1,10.52117911,10.5206249024,0.000554207600000467,5.267542679448473e-05,10.5206313365,PASS,10.75790288,10.75813178,0.236953,0.236724,0.094349135,1.0,1,1,1.0,62,0.0027,0,1.0,1.01499883121,1.1433853829,0.307110286782,-0.466885640345
48000,1,10.54203666,10.5414773929,0.000559267100001648,5.305114353507171e-05,10.5414838071,PASS,10.77895629,10.77918086,0.237144,0.23692,0.094160275,1.0,1,1,1.0,59,0.0027,0,1.0,1.01494948847,1.143267703,0.306803778444,-0.466968509085
49000,1,10.56246503,10.5619008325,0.0005641975000010291,5.341532477490523e-05,10.5619072269,PASS,10.79957558,10.79979598,0.237331,0.237111,0.093975554,1.0,1,1,1.0,66,0.0027,0,1.0,1.01489609782,1.14314710676,0.306503669581,-0.467032277163
50000,1,10.5824814,10.5819123581,0.0005690419000003999,5.3772067107096436e-05,10.5819187338,PASS,10.81977828,10.81999468,0.237513,0.237297,0.093795835,1.0,1,1,1.0,64,0.0027,0,1.0,1.0148501387,1.14303541369,0.306211389916,-0.467113302771
51000,1,10.60210215,10.601528373,0.000573776999999609,5.411917296039342e-05,10.6015347303,PASS,10.83958091,10.83979346,0.237691,0.237479,0.093620257,1.0,1,1,1.0,60,0.0026,0,1.0,1.01480435073,1.14292507412,0.305925557957,-0.467189060879
52000,1,10.62134261,10.620764201,0.0005784089999991693,5.445723965768668e-05,10.6207705403,PASS,10.858999,10.85920783,0.237865,0.237656,0.093448745,1.0,1,1,1.0,59,0.0026,0,1.0,1.01475982828,1.14281717729,0.305646071399,-0.467263252014
53000,1,10.64021729,10.6396343458,0.0005829442000013785,5.478686986488961e-05,10.6396406674,PASS,10.87804719,10.87825244,0.238035,0.23783,0.093280918,1.0,1,1,1.0,62,0.0026,0,1.0,1.01471422817,1.14270925996,0.305372326252,-0.467328725274
54000,1,10.6587398,10.6581524055,0.0005873945000001157,5.510918842395569e-05,10.65815871,PASS,10.89673933,10.89694112,0.238201,0.238,0.093116943,1.0,1,1,1.0,62,0.0026,0,1.0,1.01467105466,1.14260490816,0.305104613393,-0.467396761313
55000,1,10.67692304,10.6763312901,0.0005917498999998827,5.542326171903199e-05,10.676337578,PASS,10.91508846,10.91528692,0.238364,0.238165,0.092956636,1.0,1,1,1.0,63,0.0025,0,1.0,1.01462990528,1.14250367008,0.304842648865,-0.467466316172
56000,1,10.69477922,10.6941831805,0.0005960394999995344,5.573181902482831e-05,10.6941894522,PASS,10.93310697,10.93330221,0.238523,0.238328,0.092800002,1.0,1,1,1.0,76,0.0025,0,1.0,1.01459234866,1.1424071347,0.304586457351,-0.467542568838
57000,1,10.71232004,10.7117198283,0.0006002117000001306,5.60300381018238e-05,10.7117260837,PASS,10.95080655,10.95099867,0.238679,0.238487,0.092645855,1.0,1,1,1.0,60,0.0025,1,1.0,1.01454683547,1.14230332134,0.304334107496,-0.467589132572
58000,1,10.72955631,10.7289519938,0.0006043161999986779,5.6322571273096564e-05,10.7289582333,PASS,10.96819829,10.9683874,0.238831,0.238642,0.092495155,1.0,1,1,1.0,65,0.0025,1,1.0,1.01450520086,1.14220444248,0.304087187932,-0.467643650007
59000,1,10.74649839,10.7458900331,0.0006083568999990518,5.6609779103968385e-05,10.7458962576,PASS,10.98529272,10.98547892,0.238981,0.238794,0.092347993,1.0,1,1,1.0,60,0.0025,0,1.0,1.01446973548,1.14211283999,0.303845862907,-0.467713592124
60000,1,10.76315628,10.7625439671,0.0006123129000012995,5.688971562543357e-05,10.7625501765,PASS,11.00209984,11.00228321,0.239127,0.238944,0.092203451,1.0,1,1,1.0,65,0.0024,0,1.0,1.01443157361,1.14201931235,0.303608635977,-0.467770990408
61000,1,10.77953943,10.7789232649,0.0006161651000002877,5.716061469987013e-05,10.778929459,PASS,11.01862914,11.01880978,0.23927,0.23909,0.092060969,1.0,1,1,1.0,65,0.0024,0,1.0,1.01438567597,1.14191861643,0.303374595416,-0.467799936367
62000,1,10.79565642,10.7950364095,0.0006200105000004896,5.743147761277953e-05,10.7950425899,PASS,11.03488966,11.03506765,0.239411,0.239233,0.091922806,1.0,1,1,1.0,64,0.0024,1,1.0,1.01435802182,1.14183761457,0.303147473762,-0.467883214762
63000,1,10.8115161,10.8108923381,0.0006237619000000194,5.769421182289313e-05,10.8108985044,PASS,11.05089001,11.05106542,0.239549,0.239374,0.091786523,1.0,1,1,1.0,63,0.0024,0,1.0,1.01432276965,1.14174953733,0.302923263858,-0.467938762867
64000,1,10.82712654,10.8264991231,0.0006274169000004548,5.7948606925624316e-05,10.8265052752,PASS,11.06663836,11.06681128,0.239685,0.239512,0.091652172,1.0,1,1,1.0,65,0.0024,0,1.0,1.01428144265,1.14165593623,0.302702058952,-0.467971498826
65000,1,10.84249519,10.8418641249,0.0006310650999985512,5.820294027712188e-05,10.841870264,PASS,11.08214255,11.08231305,0.239818,0.239647,0.091521543,1.0,1,1,1.0,63,0.0024,1,1.0,1.01425478582,1.14157826472,0.302486823942,-0.468047708237
66000,1,10.85762976,10.8569951581,0.0006346018999998648,5.844755384253081e-05,10.8570012836,PASS,11.09741002,11.09757817,0.239948,0.23978,0.091392226,1.0,1,1,1.0,66,0.0023,0,1.0,1.01421700465,1.14148979777,0.302273587885,-0.468085216304
67000,1,10.87253715,10.8718990729,0.0006380770999996344,5.868704711665523e-05,10.871905185,PASS,11.1124479,11.11261376,0.240077,0.239911,0.091265105,1.0,1,1,1.0,65,0.0023,0,1.0,1.01417872425,1.14140151408,0.302063818372,-0.468118011757
68000,1,10.88722399,10.8865824679,0.0006415221000004578,5.892430435799804e-05,10.8865885672,PASS,11.12726298,11.12742662,0.240203,0.240039,0.091140742,1.0,1,1,1.0,62,0.0023,0,1.0,1.01414700481,1.14132070496,0.301858453857,-0.468168782943
69000,1,10.90169668,10.9010517511,0.000644928899999897,5.9158580442168104e-05,10.9010578384,PASS,11.14186178,11.14202326,0.240327,0.240165,0.091019156,1.0,1,1,1.0,67,0.0023,1,1.0,1.01412285581,1.14124839849,0.301657535532,-0.468240908491
70000,1,10.91596164,10.9153133879,0.0006482521000013008,5.938570703893576e-05,10.9153194628,PASS,11.15625052,11.1564099,0.240448,0.240289,0.09089869,1.0,1,1,1.0,61,0.0023,0,1.0,1.01408855767,1.14116622644,0.301458325882,-0.468277749595
71000,1,10.93002445,10.9293729022,0.000651547799998653,5.9610827311429575e-05,10.9293789654,PASS,11.17043516,11.17059249,0.240568,0.240411,0.090781121,1.0,1,1,1.0,74,0.0023,1,1.0,1.01406462552,1.14109541779,0.301263776873,-0.468345113554
72000,1,10.94389109,10.9432363419,0.0006547480999987698,5.982772440024071e-05,10.9432423928,PASS,11.1844214,11.18457674,0.240686,0.24053,0.090664364,1.0,1,1,1.0,61,0.0022,0,1.0,1.01402845276,1.14101254173,0.301070437012,-0.468370601671
73000,1,10.95756661,10.9569086739,0.0006579361000014217,6.004399730511167e-05,10.9569147136,PASS,11.19821472,11.19836812,0.240802,0.240648,0.090550559,1.0,1,1,1.0,65,0.0022,1,1.0,1.01400460271,1.14094302455,0.30088186389,-0.468433101033
74000,1,10.97105651,10.9703954573,0.0006610526999999422,6.025424255151724e-05,10.9704014853,PASS,11.21182037,11.21197189,0.240915,0.240764,0.090437817,1.0,1,1,1.0,67,0.0022,0,1.0,1.01397255906,1.14086559939,0.300694927301,-0.468466830011
75000,1,10.98436555,10.9837014108,0.000664139199999525,6.046222669633614e-05,10.9837074276,PASS,11.22524339,11.22539306,0.241028,0.240878,0.090327371,1.0,1,1,1.0,63,0.0022,0,1.0,1.01394672448,1.1407951713,0.300511681442,-0.468518130885
76000,1,10.99749864,10.9968314673,0.0006671727000000516,6.0665858832063615e-05,10.9968374731,PASS,11.23848862,11.2386365,0.241138,0.24099,0.09021843,1.0,1,1,1.0,63,0.0022,1,1.0,1.0139187988,1.14072312755,0.300330817214,-0.468560398999
77000,1,11.01046031,11.0097901594,0.0006701505999995305,6.08649031131679e-05,11.0097961544,PASS,11.2515607,11.25170683,0.241247,0.2411,0.090111248,1.0,1,1,1.0,63,0.0022,0,1.0,1.0138921767,1.14065297141,0.300152762316,-0.468604620934
78000,1,11.02325509,11.0225820118,0.0006730781999984004,6.105984071882713e-05,11.0225879957,PASS,11.26446411,11.26460852,0.241353,0.241209,0.090005262,1.0,1,1,1.0,64,0.0022,0,1.0,1.01386104312,1.1405786643,0.299976584147,-0.46863212573
79000,1,11.03588715,11.0352111877,0.0006759623000007764,6.125128780433174e-05,11.0352171608,PASS,11.27720313,11.27734588,0.241459,0.241316,0.089900837,1.0,1,1,1.0,65,0.0021,0,1.0,1.01383000054,1.14050496207,0.299802894905,-0.468657789692
80000,1,11.04836039,11.0476815441,0.0006788458999995584,6.144313509305777e-05,11.0476875073,PASS,11.28978191,11.28992304,0.241563,0.241422,0.089799033,1.0,1,1,1.0,64,0.0021,0,1.0,1.01381149863,1.14044475451,0.29963346745,-0.468721854427
81000,1,11.06067906,11.0599973933,0.0006816667000002496,6.162973324716011e-05,11.0600033463,PASS,11.30220443,11.30234397,0.241665,0.241525,0.08969801,1.0,1,1,1.0,67,0.0021,1,1.0,1.01378524631,1.14037700249,0.299465238458,-0.468758922461
82000,1,11.07284686,11.0721624357,0.0006844243000010408,6.181105082140013e-05,11.0721683784,PASS,11.31447453,11.31461251,0.241766,0.241628,0.089598167,1.0,1,1,1.0,66,0.0021,0,1.0,1.01375617812,1.14030680762,0.299298876589,-0.468784945722
83000,1,11.08486731,11.0841801381,0.0006871718999992282,6.199189226011838e-05,11.084186071,PASS,11.32659589,11.32673235,0.241865,0.241729,0.089500344,1.0,1,1,1.0,67,0.0021,0,1.0,1.01373422822,1.14024445523,0.299135788804,-0.468832083879
84000,1,11.09674416,11.0960543024,0.0006898575999993994,6.216756825719224e-05,11.0960602252,PASS,11.33857208,11.33870706,0.241963,0.241828,0.08940319,1.0,1,1,1.0,65,0.0021,0,1.0,1.0137045138,1.14017450889,0.298973722243,-0.468852271833
85000,1,11.10848048,11.1077879329,0.0006925470999998851,6.23439993657787e-05,11.1077938467,PASS,11.35040654,11.35054007,0.24206,0.241926,0.089308505,1.0,1,1,1.0,63,0.0021,1,1.0,1.01368783883,1.14011852285,0.298815689652,-0.468912870723
86000,1,11.12007987,11.1193846977,0.0006951723000003796,6.251504558666264e-05,11.1193906019,PASS,11.36210258,11.36223469,0.242155,0.242023,0.08921444,1.0,1,1,1.0,66,0.0021,0,1.0,1.01366361847,1.14005514952,0.298658603379,-0.468947312864
87000,1,11.13154538,11.130847614,0.0006977660000000441,6.268365947227033e-05,11.1308535089,PASS,11.3736634,11.37379413,0.242249,0.242118,0.089121647,1.0,1,1,1.0,64,0.0021,0,1.0,1.01363961442,1.13999242481,0.298503556901,-0.468980759436
88000,1,11.14288005,11.1421797268,0.0007003232000002413,6.284938874490005e-05,11.1421856125,PASS,11.38509209,11.38522147,0.242341,0.242212,0.089030146,1.0,1,1,1.0,64,0.002,0,1.0,1.0136164113,1.1399309456,0.298350587167,-0.469015150705
89000,1,11.15408684,11.1533839894,0.0007028505999997492,6.301283198542402e-05,11.1533898661,PASS,11.39639165,11.3965197,0.242433,0.242305,0.088939904,1.0,1,1,1.0,61,0.002,0,1.0,1.01359397918,1.13987067199,0.298199642311,-0.469050435146
90000,1,11.16516871,11.1644633919,0.00070531809999963,6.317128906148254e-05,11.1644692592,PASS,11.40756495,11.4076917,0.242523,0.242396,0.088850272,1.0,1,1,1.0,66,0.002,0,1.0,1.0135652486,1.13980426513,0.298049637285,-0.469063698262
91000,1,11.17612813,11.1754203228,0.0007078071999995217,6.333205845229708e-05,11.1754261817,PASS,11.41861479,11.41874027,0.242612,0.242487,0.088762905,1.0,1,1,1.0,62,0.002,1,1.0,1.01354941944,1.13975162476,0.29790335053,-0.469117331204
92000,1,11.18696802,11.1862577739,0.0007102461000005889,6.348870388570118e-05,11.1862636243,PASS,11.42954386,11.42966809,0.2427,0.242576,0.088676305,1.0,1,1,1.0,64,0.002,0,1.0,1.01352971699,1.13969534946,0.297758273171,-0.469156903591
93000,1,11.19769102,11.1969783885,0.0007126315000007821,6.364093264655752e-05,11.1969842299,PASS,11.44035477,11.44047779,0.242787,0.242664,0.088590184,1.0,1,1,1.0,66,0.002,0,1.0,1.01350313429,1.13963231239,0.297613923495,-0.469172647398
94000,1,11.20829951,11.2075845296,0.0007149803999997317,6.37902653620051e-05,11.2075903622,PASS,11.45105006,11.45117188,0.242872,0.242751,0.088505126,1.0,1,1,1.0,65,0.002,0,1.0,1.0134766285,1.13956972006,0.297471284031,-0.469187204102
95000,1,11.21879565,11.2180782803,0.0007173697000002477,6.394355707871795e-05,11.2180841054,PASS,11.46163217,11.46175282,0.242957,0.242837,0.088422609,1.0,1,1,1.0,74,0.002,0,1.0,1.01346741992,1.13952542484,0.297332842051,-0.469256688506
96000,1,11.22918226,11.22846259,0.0007196700000005052,6.408926165212187e-05,11.2284684067,PASS,11.47210347,11.47222297,0.243041,0.242921,0.088339914,1.0,1,1,1.0,67,0.002,0,1.0,1.01344463398,1.1394673994,0.297194030712,-0.469280621378
97000,1,11.23946148,11.2387395564,0.0007219235999986751,6.423115567265374e-05,11.2387453645,PASS,11.48246626,11.48258463,0.243123,0.243005,0.088257796,1.0,1,1,1.0,65,0.0019,0,1.0,1.01341716453,1.13940485978,0.297056120047,-0.469287957301
98000,1,11.24963521,11.2489109908,0.0007242191999985437,6.437712747830013e-05,11.2489167915,PASS,11.49272276,11.49284003,0.243205,0.243088,0.088177952,1.0,1,1,1.0,67,0.0019,1,1.0,1.01340475567,1.13935827865,0.296921968222,-0.469343105479
99000,1,11.25970596,11.2589795165,0.0007264434999996183,6.45170933042392e-05,11.258985309,PASS,11.50287513,11.50299132,0.243285,0.243169,0.08809821,1.0,1,1,1.0,64,0.0019,0,1.0,1.01338270873,1.13930203098,0.296787922527,-0.469365565138
100000,1,11.26967572,11.2689471105,0.0007286095000011983,6.465221521043005e-05,11.2689528947,PASS,11.51292546,11.5130406,0.243365,0.24325,0.088018963,1.0,1,1,1.0,65,0.0019,0,1.0,1.01335576052,1.13924102289,0.296654645426,-0.469370781951
101000,1,11.27954627,11.2788154595,0.0007308105000003451,6.479077105646245e-05,11.2788212362,PASS,11.5228758,11.52298988,0.243444,0.24333,0.087941595,1.0,1,1,1.0,65,0.0019,0,1.0,1.01334007647,1.13919201772,0.296524471082,-0.469411570683
102000,1,11.28931984,11.2885868909,0.000732949099999658,6.492411503859545e-05,11.2885926597,PASS,11.53272809,11.53284116,0.243521,0.243408,0.087864438,1.0,1,1,1.0,65,0.0019,0,1.0,1.01331667243,1.13913531569,0.29639459081,-0.46942596121
103000,1,11.29899801,11.2982628883,0.0007351217000000076,6.506078674847095e-05,11.2982686501,PASS,11.54248427,11.54259633,0.243598,0.243486,0.087789245,1.0,1,1,1.0,64,0.0019,0,1.0,1.01330597924,1.13909210691,0.296267962702,-0.469480755323
104000,1,11.30858293,11.3078457035,0.0007372265000000766,6.519176669291814e-05,11.3078514579,PASS,11.55214618,11.55225726,0.243674,0.243563,0.087714204,1.0,1,1,1.0,64,0.0019,0,1.0,1.01328730651,1.13904092015,0.296141532679,-0.469508342479
105000,1,11.31807626,11.3173369481,0.0007393119000003168,6.532133933512804e-05,11.3173426952,PASS,11.56171563,11.56182574,0.243749,0.243639,0.087640046,1.0,1,1,1.0,62,0.0019,0,1.0,1.01326928958,1.13899070874,0.29601653547,-0.469536975427
106000,1,11.32747975,11.3267383826,0.0007413673999998593,6.544857429560704e-05,11.3267441224,PASS,11.57119437,11.57130354,0.243824,0.243715,0.087566641,1.0,1,1,1.0,64,0.0019,0,1.0,1.01325062361,1.13894011343,0.295892753407,-0.469562406755
107000,1,11.33679506,11.3360516548,0.0007434051999997138,6.557454695663465e-05,11.3360573875,PASS,11.58058411,11.58069234,0.243897,0.243789,0.087494131,1.0,1,1,1.0,62,0.0019,0,1.0,1.01323314348,1.13889103287,0.295770428113,-0.469590667858
108000,1,11.34602384,11.3452784054,0.0007454346000006495,6.570007348060089e-05,11.345284131,PASS,11.58988651,11.58999382,0.24397,0.243863,0.087422489,1.0,1,1,1.0,64,0.0018,1,1.0,1.01321672559,1.13884333384,0.295649515865,-0.469621380696
109000,1,11.35516771,11.354420294,0.0007474159999993901,6.582166103466473e-05,11.3544260126,PASS,11.59910316,11.59920958,0.244042,0.243935,0.087351418,1.0,1,1,1.0,66,0.0018,0,1.0,1.01319810866,1.13879362711,0.295529516166,-0.469643874855
110000,1,11.36422826,11.3634788879,0.0007493721000013664,6.594131012301283e-05,11.3634845992,PASS,11.60823564,11.60834118,0.244113,0.244007,0.087280829,1.0,1,1,1.0,65,0.0018,0,1.0,1.0131764303,1.13874101259,0.295410279639,-0.469655330737
111000,1,11.3732068,11.372455459,0.0007513410000008491,6.606237037744263e-05,11.3724611637,PASS,11.61728548,11.61739014,0.244183,0.244079,0.087211694,1.0,1,1,1.0,64,0.0018,1,1.0,1.01316314642,1.13869737444,0.295293452659,-0.469693361591
112000,1,11.38210507,11.3813518158,0.0007532541999992759,6.617881273865942e-05,11.3813575135,PASS,11.62625415,11.62635796,0.244253,0.244149,0.087142567,1.0,1,1,1.0,64,0.0018,0,1.0,1.01314163125,1.13864545376,0.295176589522,-0.469703420523
113000,1,11.3909242,11.3901690166,0.0007551834000008029,6.629693839950254e-05,11.3901747079,PASS,11.6351431,11.63524606,0.244322,0.244219,0.087074977,1.0,1,1,1.0,62,0.0018,0,1.0,1.01312981762,1.13860385765,0.29506228053,-0.469744412618
114000,1,11.39966581,11.3989087294,0.0007570805999996821,6.641252582470943e-05,11.3989144142,PASS,11.64395373,11.64405587,0.24439,0.244288,0.08700775,1.0,1,1,1.0,63,0.0018,1,1.0,1.01311421492,1.13855858041,0.294948539139,-0.469772051815
115000,1,11.4083312,11.4075722388,0.0007589611999989643,6.652692551553591e-05,11.407577917,PASS,11.65268741,11.65278874,0.244458,0.244356,0.086941161,1.0,1,1,1.0,76,0.0018,0,1.0,1.01309817196,1.13851309335,0.294835832325,-0.469797352151
