k,mu,R,cert,discovery_minus_cert,relative_cert_gap,cert_midpoint,cert_status,log_k,ceiling,headroom,log_k_minus_R,c,weight,rank_num,rank_den,cond,nit,moved_log_c,gate_failed_coords,spread,c_log_k,E_S,sd_S,eta
2100,1,7.45688594,7.4568422921,4.3647900000109985e-05,5.853368329797731e-06,7.4568539155,PASS,7.64969262,7.65333707,0.196451,0.192807,0.13437583,1.0,1,1,1.0,64,0.0103,0,1.0,1.02793379556,1.16329333846,0.365488949045,-0.446780508369
2200,1,7.50241414,7.5023685439,4.55960999996563e-05,6.077523734201149e-06,7.5023800516,PASS,7.69621264,7.69971251,0.197298,0.193799,0.13352284,1.0,1,1,1.0,63,0.0101,1,1.0,1.02762016885,1.16296938041,0.364371456315,-0.447261654504
2300,1,7.5459322,7.5458846357,4.756429999996925e-05,6.30330338774701e-06,7.5458960359,PASS,7.7406644,7.74403137,0.198099,0.194732,0.13271792,1.0,1,1,1.0,58,0.01,0,1.0,1.02732487884,1.16265940895,0.363312122011,-0.447712584015
2400,1,7.58761044,7.587560881,4.955899999981028e-05,6.531568850523418e-06,7.5875721814,PASS,7.78322402,7.78646838,0.198858,0.195614,0.13195646,1.0,1,1,1.0,71,0.0098,1,1.0,1.02704668858,1.16236289253,0.362305673696,-0.448137868975
2500,1,7.62759839,7.6275468111,5.1578899999960015e-05,6.762141550029879e-06,7.6275580188,PASS,7.82404601,7.82717688,0.199578,0.196448,0.13123436,1.0,1,1,1.0,70,0.0096,1,1.0,1.02678367085,1.16207848557,0.361347368554,-0.448539271837
2600,1,7.66602805,7.6659744252,5.362480000048464e-05,6.995121808937894e-06,7.6659855463,PASS,7.86326672,7.86629222,0.200264,0.197239,0.13054804,1.0,1,1,1.0,58,0.0095,1,1.0,1.02653405882,1.16180490418,0.360433037947,-0.448918071167
2700,1,7.70301652,7.7029608263,5.569370000024776e-05,7.23011561193533e-06,7.7029718667,PASS,7.90100705,7.90393444,0.200918,0.197991,0.12989452,1.0,1,1,1.0,54,0.0093,0,1.0,1.02629751854,1.16154222409,0.359559224009,-0.449278486832
2800,1,7.73866816,7.7386103873,5.777269999995838e-05,7.465457725474868e-06,7.7386213525,PASS,7.9373747,7.94021049,0.201542,0.198707,0.12927103,1.0,1,1,1.0,72,0.0092,1,1.0,1.02607260247,1.16128933789,0.358722664392,-0.449621264271
2900,1,7.77307641,7.7730165307,5.987930000017627e-05,7.70342356639413e-06,7.7730274255,PASS,7.97246602,7.97521609,0.20214,0.19939,0.12867513,1.0,1,1,1.0,59,0.009,0,1.0,1.02585810103,1.16104532314,0.357920472469,-0.449947224402
3000,1,7.8063252,7.8062632077,6.199230000003553e-05,7.941290993108452e-06,7.8062740368,PASS,8.00636757,8.00903725,0.202712,0.200042,0.12810471,1.0,1,1,1.0,60,0.0089,0,1.0,1.02565339541,1.16080980745,0.357150151292,-0.450258264956
