k,log_k,delta_log_previous,eta_target,eta_actual,c,c_log_k,E_S,sd_S,R,cert,log_k_minus_R,log_k_minus_cert,discovery_minus_cert,ceiling,headroom_R,headroom_cert,rank,cond,cert_status,grid_type
130,4.867534450455582,0.023347363996991107,-0.4746,-0.47459999999999536,0.2276229050600036,1.1079623320923477,1.2184267729550529,0.4602334027708702,4.776648659554985,4.7766083177,0.09088579090059756,0.09092613275558215,4.0341854984582426e-05,4.905267275652912,0.12861861609792768,0.12865895795291227,1,1.0,PASS,eta_fixed_geometric
133,4.890349128221754,0.022814677766171264,-0.4746,-0.4745999999999427,0.2263391766246303,1.1068775950886902,1.2179670412998678,0.45926473093108744,4.798082136769207,4.7980422922,0.09226699145254713,0.09230683602175382,3.984456920669288e-05,4.927397227677979,0.12931509090877213,0.12935493547797883,1,1.0,PASS,eta_fixed_geometric
136,4.912654885736052,0.022305757514298186,-0.4746,-0.4746000000000917,0.22509859374280322,1.105831706322897,1.2175190890062755,0.45832087864777377,4.819050106480821,4.8190107374,0.09360477925523103,0.09364414833605217,3.936908082113888e-05,4.949044921926689,0.1299948154458681,0.13003418452668924,1,1.0,PASS,eta_fixed_geometric
139,4.9344739331306915,0.021819047394639673,-0.4746,-0.4746000000000084,0.223898719734068,1.1048223961890928,1.2170823804128201,0.4574007172625712,4.839572496416141,4.8395335824,0.09490143671455087,0.09494035073069185,3.891401614097845e-05,4.970230990617146,0.13065849420100495,0.13069740821714593,1,1.0,PASS,eta_fixed_geometric
142,4.955827057601261,0.02135312447056906,-0.4746,-0.4746000000000516,0.22273730763833793,1.103847575931331,1.216656414301237,0.4565031906894511,4.859667977034824,4.8596294991,0.09615908056643718,0.09619755850126044,3.8477934823255566e-05,4.9909747672296385,0.13130679019481484,0.1313452681296381,1,1.0,PASS,eta_fixed_geometric
145,4.976733742420574,0.020906684819313643,-0.4746,-0.4746000000000471,0.22161228160208307,1.1029053195838971,1.2162407210649238,0.45562730944985735,4.879354065351759,4.8793160055,0.09737967706881534,0.09741773692057443,3.805985175908688e-05,5.011294393409606,0.13194032805784683,0.13197838790960592,1,1.0,PASS,eta_fixed_geometric
148,4.997212273764115,0.0204785313435407,-0.4746,-0.4746000000000123,0.2205217204497657,1.1019938480631482,1.2158348601592244,0.4547721452996603,4.898647218241366,4.8986095596,0.09856505552274886,0.09860271416411504,3.765864136617836e-05,5.031206915082238,0.13255969684087177,0.13259735548223794,1,1.0,PASS,eta_fixed_geometric
151,5.017279836814924,0.020067563050809173,-0.4746,-0.4745999999999242,0.21946384314346967,1.1011115151136437,1.2154384177996216,0.45393682637938476,4.917562916482424,4.9175256432,0.0997169203324999,0.09975419361492399,3.727328242408845e-05,5.050728369060357,0.13316545257793244,0.13320272586035653,1,1.0,PASS,eta_fixed_geometric
155,5.043425116919247,0.026145280104322207,-0.4746,-0.47460000000004576,0.21810134005607262,1.0999777764725425,1.2149238098468451,0.45285252812225957,4.942221775728202,4.9421849931,0.10120334119104513,0.10124012381924707,3.678262820194789e-05,5.076174630665476,0.1339528549372746,0.13398963756547655,1,1.0,PASS,eta_fixed_geometric
159,5.0689042022202315,0.025479085300984968,-0.4746,-0.47460000000009306,0.21679041005508298,1.0988898205292572,1.2144243967721826,0.45180024604327973,4.966267720019568,4.9662314035,0.10263648220066379,0.10267279872023138,3.6316519567591854e-05,5.100985874386183,0.13471815436661494,0.13475447088618253,1,1.0,PASS,eta_fixed_geometric
163,5.093750200806762,0.024845998586530804,-0.4746,-0.4745999999999881,0.2155277722902414,1.0978446333828513,1.2139393834889498,0.45077830486505516,4.989730667112369,4.9896947937,0.10401953369439365,0.10405540710676231,3.587341236865882e-05,5.125193103280878,0.13546243616850973,0.13549830958087838,1,1.0,PASS,eta_fixed_geometric
167,5.117993812416755,0.024243611609992853,-0.4746,-0.4746000000000143,0.21431043324418186,1.0968394712800769,1.2134680336430206,0.4497851530615553,5.012638389534757,5.0126029381,0.10535542288199817,0.10539087431675576,3.5451434757582945e-05,5.1488251004433625,0.13618671090860524,0.13622216234336282,1,1.0,PASS,eta_fixed_geometric
171,5.14166355650266,0.023669744085904703,-0.4746,-0.4746000000000108,0.21313565508300142,1.0958718303315893,1.2130096640740948,0.44881935118855876,5.0350167153091325,5.0349816659,0.10664684119352774,0.10668189060266009,3.504940913234833e-05,5.171908636246793,0.13689192093766067,0.13692697034679302,1,1.0,PASS,eta_fixed_geometric
175,5.1647859739235145,0.023122417420854212,-0.4746,-0.4746000000000086,0.21200092816948002,1.094939420268497,1.2125636399073103,0.4478795615408901,5.0568897056981434,5.0568550398,0.10789626822537102,0.10793093412351418,3.4665898143160234e-05,5.194468651934569,0.13757894623642564,0.1376136121345688,1,1.0,PASS,eta_fixed_geometric
179,5.187385805840755,0.022599831917240992,-0.4746,-0.47459999999997254,0.21090394710675492,1.0940401416173697,1.2121293701908613,0.44696453896096416,5.078279813065463,5.0782455134,0.10910599277529176,0.10914029244075518,3.4299665463422e-05,5.2165284227275,0.13824860966203723,0.13828290932750065,1,1.0,PASS,eta_fixed_geometric
